Departamento;Ciudad;Municipios;Comida
Amazonas;Leticia;2;Pescado Frito
Antioquia;Medellín;125;Bandeja Paisa
Arauca;Arauca;7;Picillo de pescado
Atlántico;Barranquilla;23;Jugo de Corozo
Bogotá;Bogotá;0;Ajiaco
Bolívar;Cartagena de Indias;45;Arepa de Huevo
Boyacá;Tunja;123;Cuajada con melao
Caldas;Manizales;27;Sancocho de uña
Caquetá;Florencia;16;Caldo de cuchas
Casanare;Yopal;19;Hallacas
Cauca;Popayán;41;Empanadas de pipiani
Cesar;Valledupar;25;Carne pangá
Chocó;Quibdó;31;Sopa de queso
Córdoba;Montería;30;Bollo limpio
Cundinamarca;Bogotá;116;Ajiaco
Guainía;Inírida;1;Tupiro
Guaviare;San José del Guaviare;4;Pesacdo muquiado
Huila;Neiva;37;Lechona
La Guajira;Riohacha;15;Salpicon de chucho
Magdalena;Santa Marta;30;Bollo de yuca
Meta;Villavicencio;29;Mamona
Nariño;Pasto;64;Cuy
Norte de Santander;San José de Cúcuta;40;Pepitoria de chivo
Putumayo;Mocoa;13;Refresco de Cocona
Quindío;Armenia;12;Calentado
Risaralda;Pereira;14;Chunchurria
San Andrés y Providencia;San Andrés;2;Hormigas Culonas
Santander;Bucaramanga;87;Bocadillo
Sucre;Sincelejo;26;Carnero guisado
Tolima;Ibagué;47;Lechona
Valle del Cauca;Cali;42;Champús
Vaupés;Mitú;3;Fariña
Vichada;Puerto Carreño;4;Caldo de curito